THE_TE_UID,TERM,INDEX_TERM,SCOPE_NOTE,CLA_GR_UID,STATUS,IMAGE_EXISTS
68622,"FARMSTEAD",Y,"The homestead of a farm consisting of a farmhouse and working farm buildings, with yards, other working areas and usually a garden to the house.",1,P,"-"
68623,"FIELD",Y,"An area of land, often enclosed, used for cultivation or the grazing of livestock.",1,P,"-"
68624,"CORD RIG",Y,"Narrow ridges representing the surviving surface traces of later prehistoric cultivation.",1,P,"-"
68625,"FIELD BOUNDARY",Y,"The limit line of a field.",1,P,"-"
68626,"LYNCHET",Y,"A bank formed at the end of a field by soil which, loosened by the plough, gradually moves down slope through a combination of gravity and erosion.",1,P,"-"
68627,"PLOUGH HEADLAND",Y,"A narrow strip of land where a plough and team could turn. This usually remains higher than the ploughed land.",1,P,"-"
68628,"RIDGE AND FURROW",Y,"A series of long, raised ridges separated by ditches used to prepare the ground for arable cultivation. This was a technique, characteristic of the medieval period.",1,P,"-"
68629,"BROAD RIDGE AND FURROW",Y,"Long parallel soil ridges in excess of 5 metres across separated by furrows, formed by using a heavy plough capable of turning the soil.",1,P,"-"
68630,"NARROW RIDGE AND FURROW",Y,"Long parallel soil ridges less than 5 metres across separated by furrows, formed by using a heavy plough capable of turning the soil.",1,P,"-"
68631,"STEAM PLOUGHED RIG",Y,"A ridge and furrow produced by a plough drawn between two steam engined vehicles, or a steam engined vehicle and a moveable windlass, standing on opposite headlands.",1,P,"-"
68632,"STRIP LYNCHET",Y,"A terraced field usually found on hillsides. Comprising a flat strip of land, called the tread, and a steep, scarped lynchet or edge, called the riser.",1,P,"-"
68633,"FIELD SYSTEM",Y,"A group or complex of fields which appear to form a coherent whole. Use more specific type where known.",1,P,"-"
68634,"AGGREGATE FIELD SYSTEM",Y,"A field system which appears to have developed in an organic, or piecemeal, fashion over time.",1,P,"-"
68635,"CELTIC FIELD SYSTEM",Y,"A fairly regular system of small rectangular fields. Examples may date from the middle Bronze Age to the Roman period. The word 'Celtic' carries no chronological or cultural connotations in this context.",1,P,"-"
68636,"CENTURIATED AREA",Y,"An area of land which retains distinctive large-scale rectilinear land divisions characteristic of Roman agriculture. Generally aligned with the course of a Roman road.",1,P,"-"
68637,"COAXIAL FIELD SYSTEM",Y,"A field system with one prevailing axis of orientation, in which most field boundaries are either aligned with this axis or run at right angles to it.",1,P,"-"
68638,"ENCLOSED FIELD SYSTEM",Y,"A system of individually enclosed fields.",1,P,"-"
68639,"OPEN FIELD",Y,"An area of arable land with common rights after harvest or while fallow. Usually without internal divisions (hedges, walls or fences).",1,P,"-"
68640,"WATER MEADOW",Y,"Grassland fertilized by allowing floodwater to cover it in winter.",1,P,"-"
68641,"GARDEN",Y,"An enclosed piece of ground devoted to the cultivation of flowers, fruit or vegetables and/or recreational purposes. Use more specific type where known.",1,P,"-"
68642,"HOP GARDEN",Y,"A piece of land used for the cultivation of hops.",1,P,"-"
68643,"KITCHEN GARDEN",Y,"A private garden established primarily for growing vegetables and herbs for domestic consumption.",1,P,"-"
68644,"MARKET GARDEN",Y,"A piece of land used to grow vegetables to be sold at markets.",1,P,"-"
68645,"NURSERY GARDEN",Y,"A horticultural site where trees, shrubs and plants are grown for sale and transplanting elsewhere.",1,P,"-"
68646,"GRANGE",Y,"An outlying farm or estate, usually belonging to a religious order or feudal lord. Specifically related to core buildings and structures associated with monastic land holding. Use specific term where known.",1,P,"-"
68647,"LAZY BEDS",Y,"Areas used for potato-growing.",1,P,"-"
68648,"MANOR",Y,"An area of land consisting of the lord's demesne and of lands from whose holders he may exact certain fees, etc.",1,P,"-"
68649,"ORCHARD",Y,"An enclosure used for the cultivation of fruit trees.",1,P,"-"
68650,"PLANTATION BANK",Y,"An earthen bank indicating the limit of a plantation.",1,P,"-"
68651,"RANCH BOUNDARY",Y,"A system of long, continuous banks and/or ditches dividing land into well defined areas. Possibly used for controlling livestock",1,P,"-"
