TH_T_U_UID_1,TH_T_U_UID_2
132758,132752
132705,132752
132986,132752
132173,132752
135476,132752
186480,132752
132738,132753
132741,132753
132744,132753
132749,132756
132676,132756
132986,132756
132173,132756
135476,132756
135318,132756
135644,132756
134424,132756
134460,132756
134458,132756
134472,132756
132997,132757
132752,132757
132752,132758
134213,132758
132752,132759
132364,132759
132540,132759
132551,132759
132750,132760
132752,132761
133064,132763
132934,132763
135507,132763
135435,132764
132744,132765
182102,132768
132418,132770
135921,132772
133414,132773
135507,132774
135507,132776
134480,132779
132738,132779
190363,132781
132749,132782
132384,132783
186480,132783
132793,132784
132790,132784
132996,132784
134460,132784
132791,132785
132795,132785
134414,132789
132784,132790
132785,132791
132267,132792
132784,132793
132744,132794
132785,132795
132676,132795
132676,132796
132741,132799
134455,132799
135488,132800
132812,132800
132813,132800
132803,132800
132383,132801
132364,132801
132551,132801
202751,132801
202750,132801
202749,132801
132519,132802
132172,132802
132061,132802
132579,132802
134430,132802
134234,132802
134465,132803
132800,132803
132805,132803
132806,132803
132467,132803
132468,132803
132812,132805
132803,132805
132822,132805
132822,132806
132803,132806
132812,132806
132822,132809
132822,132812
132821,132812
132806,132812
132805,132812
132800,132812
132587,132812
134465,132812
134455,132813
135489,132813
135767,132813
132800,132813
132384,132813
132060,132821
132812,132821
134450,132821
134450,132822
132812,132822
132805,132822
132806,132822
132809,132822
132545,132822
132487,132822
135300,132824
134433,132825
132614,132825
132587,132826
182194,132827
182057,132834
190419,132834
132340,132834
132392,132837
132968,132837
132382,132838
132100,132838
132095,132838
132096,132838
135519,132842
144883,132842
132847,132843
133187,132843
132849,132844
132843,132847
132848,132847
132215,132847
132849,132848
132847,132848
132844,132849
132848,132849
132215,132849
132333,132849
132854,132850
135101,132851
132948,132852
132605,132852
132557,132852
145543,132852
135300,132853
134020,132854
134004,132854
132287,132854
132197,132854
132193,132854
132850,132854
132933,132854
145515,132854
183859,132855
135300,132855
135300,132856
135491,132864
134983,132864
132909,132864
132870,132864
132904,132864
132903,132864
133059,132864
131775,132864
131775,132870
131544,132870
133059,132870
133038,132870
132864,132870
132659,132870
134983,132870
172163,132870
132648,132871
132883,132871
210616,132873
135101,132874
132903,132878
132648,132882
183859,132882
132648,132883
132871,132883
132926,132883
135463,132883
132895,132885
135101,132887
135933,132888
135101,132891
132911,132891
132907,132892
132973,132893
132194,132893
132885,132895
132903,132896
132896,132903
132878,132903
132864,132903
132909,132903
132146,132903
132147,132903
132148,132903
131775,132903
134983,132903
144965,132903
134983,132904
131775,132904
132909,132904
132864,132904
131775,132905
132892,132907
132864,132909
132904,132909
132903,132909
210616,132910
132891,132911
132935,132912
132927,132914
132920,132914
132915,132914
132924,132914
132622,132914
132914,132915
135300,132915
135468,132917
135101,132917
132924,132917
132935,132917
131777,132917
132914,132920
132914,132924
132917,132924
132300,132924
134031,132924
132122,132926
132883,132926
132914,132927
132064,132929
132942,132930
133041,132930
132854,132933
132716,132933
132763,132934
132478,132934
132917,132935
132912,132935
132930,132942
132852,132948
133064,132948
132557,132948
132551,132948
132546,132948
132545,132950
132382,132950
132551,132951
132487,132951
133061,132951
132385,132954
132206,132956
133062,132956
132383,132958
132606,132959
132605,132959
132599,132959
135472,132961
202753,132961
202752,132961
202754,132961
202755,132961
144883,132963
135415,132966
132837,132968
132583,132971
132893,132973
135393,132979
132752,132986
132756,132986
132391,132986
132390,132986
132473,132986
132486,132989
134206,132989
136608,132990
132313,132990
186336,132994
186336,132995
132784,132996
134460,132996
132757,132997
132676,132997
135470,133002
132652,133004
132382,133007
135479,133007
132084,133008
132070,133008
144883,133008
172245,133017
132225,133017
132226,133017
132196,133017
132186,133017
135516,133017
135010,133017
134960,133017
132090,133021
145508,133021
145903,133022
145904,133022
134197,133029
134162,133029
183680,133034
132133,133037
131639,133038
132870,133038
133059,133038
134975,133038
135491,133038
136710,133038
136709,133038
136711,133038
172163,133038
132930,133041
136005,133048
186552,133051
202755,133052
202754,133052
202752,133052
202753,133052
186346,133054
132385,133055
132487,133055
132382,133056
135470,133056
135470,133057
132382,133057
132487,133057
131662,133059
131544,133059
132870,133059
132864,133059
133038,133059
134976,133059
132951,133061
131699,133061
132487,133061
132382,133062
132956,133062
132599,133062
132763,133064
132948,133064
132181,133064
133141,133066
135132,133066
132488,133068
133119,133069
135132,133070
135470,133073
134485,133075
134566,133075
134538,133075
133138,133075
133391,133075
131717,133075
131795,133075
171063,133075
178413,133075
144163,133075
133137,133078
135132,133078
133128,133080
133237,133080
133148,133081
135132,133081
133148,133082
133145,133082
133092,133082
134693,133084
132695,133085
133146,133085
133159,133085
133201,133085
132558,133085
133145,133092
133148,133092
133082,133092
133119,133093
133123,133093
133131,133093
134953,133098
135197,133099
135232,133101
135118,133101
133835,133101
133359,133101
133407,133101
132173,133101
132029,133101
132011,133101
134272,133107
133131,133108
133128,133113
133201,133113
133184,133113
133237,133113
202717,133114
133069,133119
133093,133119
133093,133123
133080,133128
133129,133128
133113,133128
133222,133128
133148,133128
133237,133129
133563,133129
133128,133129
131800,133129
132446,133130
133108,133131
133093,133131
133261,133131
133159,133131
133141,133133
133756,133135
133759,133136
133337,133136
133078,133137
132011,133137
132012,133137
135232,133137
135233,133137
135889,133137
133075,133138
133066,133141
133133,133141
135132,133141
135132,133142
133825,133143
133092,133145
133082,133145
133085,133146
132695,133146
133191,133146
135949,133146
133237,133148
133082,133148
133081,133148
133092,133148
133128,133148
131767,133150
135132,133158
135132,133159
135518,133159
134412,133159
132491,133159
132498,133159
133131,133159
133085,133159
132676,133159
133191,133159
133201,133159
135132,133160
135275,133162
133253,133166
133249,133167
133227,133167
133641,133167
134950,133167
135132,133168
134409,133168
134294,133168
133229,133168
135608,133171
135608,133172
135608,133175
134251,133176
134513,133180
133583,133181
202753,133183
202752,133183
202754,133183
202755,133183
133222,133184
133185,133184
133113,133184
133184,133185
132843,133187
133265,133188
133545,133188
133583,133190
133201,133191
133146,133191
133159,133191
132695,133191
132558,133191
133557,133192
133431,133192
134711,133200
135132,133200
135628,133200
134944,133201
133159,133201
133191,133201
133222,133201
133113,133201
133085,133201
132720,133205
132721,133205
135132,133205
133207,133206
133206,133207
134949,133207
134968,133208
134321,133208
133210,133209
133238,133210
133209,133210
135132,133217
133201,133222
133184,133222
133128,133222
133167,133227
133243,133227
133641,133227
132228,133227
132018,133227
135025,133227
134963,133227
134950,133227
134963,133228
133287,133228
133168,133229
133640,133229
135348,133229
135648,133231
134589,133231
131742,133231
131631,133231
134951,133234
135033,133234
134259,133234
133757,133236
133148,133237
133129,133237
133113,133237
133080,133237
133210,133238
134067,133241
135032,133243
133227,133243
133167,133249
132228,133249
135032,133249
134004,133253
133166,133253
166386,133254
133263,133256
134592,133260
133131,133261
133256,133263
191239,133263
133188,133265
133545,133265
132253,133268
135101,133268
134183,133268
135163,133271
143303,133274
135132,133275
133289,133275
133393,133276
133295,133277
186581,133278
143303,133279
135184,133280
135110,133280
135315,133281
133295,133281
133289,133286
133228,133287
135132,133287
135110,133289
133286,133289
133275,133289
133292,133291
133291,133292
133661,133294
133281,133295
133277,133295
135178,133296
135547,133300
136846,133300
133329,133300
182126,133300
209668,133301
133393,133301
133386,133302
133380,133307
133408,133307
135214,133307
135045,133307
134692,133307
133395,133308
133315,133310
133311,133310
133310,133311
133360,133311
133339,133311
134720,133311
136826,133311
133602,133312
133336,133313
133337,133313
133323,133313
133492,133314
134736,133314
134716,133315
133310,133315
133362,133316
133376,133317
133398,133317
131578,133317
131725,133317
131726,133317
131697,133317
135047,133317
135106,133318
135303,133318
133337,133318
150603,133318
143597,133319
133320,133319
133385,133319
131708,133319
131553,133319
133319,133320
205444,133320
205443,133320
205442,133320
133337,133321
133348,133321
133313,133323
207072,133324
154063,133326
133345,133326
133300,133329
133379,133329
131648,133331
163043,133331
163063,133331
202731,133331
163043,133332
133414,133332
133355,133332
133341,133335
131601,133335
133313,133336
133313,133337
133318,133337
133321,133337
133136,133337
131760,133337
133311,133339
133393,133339
192928,133339
209668,133339
133335,133341
135305,133342
202731,133343
135301,133344
133366,133344
133365,133344
133412,133344
133418,133344
133366,133345
133326,133345
135305,133345
135295,133345
134692,133347
204207,133347
185297,133347
134692,133348
133321,133348
133360,133348
133400,133348
133384,133348
135304,133349
209908,133351
209607,133351
144443,133352
141132,133352
136021,133352
136608,133352
133365,133354
133374,133355
133332,133355
133101,133359
135106,133359
133311,133360
133348,133360
133386,133360
137082,133361
184558,133361
133365,133362
133316,133362
196600,133363
133354,133365
133344,133365
133362,133365
133400,133365
133412,133365
135050,133365
135295,133366
135523,133366
134059,133366
134164,133366
134431,133366
133344,133366
133345,133366
154063,133366
132496,133368
136587,133368
136819,133372
134692,133373
133384,133373
141150,133373
202848,133373
202872,133373
202873,133373
202850,133373
202852,133373
202853,133373
202854,133373
202856,133373
202857,133373
202858,133373
202859,133373
202860,133373
202862,133373
202863,133373
202864,133373
202865,133373
202866,133373
202868,133373
202869,133373
133355,133374
136839,133375
136608,133375
209624,133375
133317,133376
133329,133379
135547,133379
134692,133380
135045,133380
133307,133380
135970,133381
134692,133384
133373,133384
133348,133384
133319,133385
133414,133385
133390,133386
133302,133386
133360,133386
209908,133386
209607,133386
184558,133386
133419,133387
135056,133387
136587,133388
133386,133390
133075,133391
134692,133391
202717,133391
204807,133393
204808,133393
134720,133393
136826,133393
133339,133393
133301,133393
133276,133393
182333,133394
133308,133395
134692,133396
135304,133398
133317,133398
133348,133400
133365,133400
209668,133406
133101,133407
133307,133408
134692,133408
134746,133408
135045,133408
132493,133410
133344,133412
133365,133412
133385,133414
133418,133414
133416,133414
133332,133414
132773,133414
132499,133414
131708,133414
131801,133414
131848,133414
135196,133414
135197,133414
135646,133414
135719,133414
134474,133414
134377,133414
133674,133414
192324,133414
133414,133416
133414,133418
133344,133418
135178,133418
135179,133418
135153,133418
134762,133418
134607,133418
135056,133419
135107,133419
135303,133419
133387,133419
133443,133423
133618,133423
131733,133423
135608,133423
135154,133423
134588,133423
134538,133423
186495,133423
213372,133423
133485,133427
133456,133428
131696,133429
135918,133429
133192,133431
133588,133433
131582,133440
131574,133441
133732,133441
133498,133442
133526,133442
133489,133442
133423,133443
133489,133444
133526,133444
133498,133444
135010,133444
135132,133448
133907,133449
133954,133449
133428,133456
133501,133459
133518,133461
135188,133465
135036,133472
133523,133472
133500,133472
135012,133477
134530,133477
134486,133477
133669,133477
132313,133481
132323,133481
132324,133481
191884,133481
145525,133481
133502,133482
133504,133482
133498,133484
133526,133484
133427,133485
133489,133487
133526,133487
133498,133487
133498,133489
133526,133489
133527,133489
133487,133489
133444,133489
133442,133489
135010,133489
134549,133490
134580,133490
178414,133491
135109,133492
133314,133492
133572,133493
135017,133495
134524,133495
134497,133495
135918,133496
133442,133498
133444,133498
133487,133498
133484,133498
133489,133498
133472,133500
135188,133500
133459,133501
133482,133502
133482,133504
131607,133508
131750,133508
134371,133508
134177,133508
135188,133514
133683,133516
133734,133516
133461,133518
133472,133523
133524,133523
135188,133523
136580,133523
135951,133524
133523,133524
133527,133526
133484,133526
133487,133526
133489,133526
133444,133526
133442,133526
133526,133527
135612,133530
133546,133533
133720,133542
136565,133544
133188,133545
133265,133545
133533,133546
135024,133549
135200,133553
192346,133553
134014,133555
133192,133557
133581,133558
133640,133558
