THE_TE_UID_1,THE_TE_UID_2
71542,71359
71691,71359
71764,71359
91758,71359
92442,71359
93054,71359
93292,71359
91144,71361
93560,71365
93674,71366
93648,71366
91268,71367
91265,71367
68551,71367
93871,71367
93874,71367
151891,71367
78269,71372
70218,71373
92881,71373
93446,71374
93431,71374
93487,71374
91410,71374
71370,71374
87716,71374
91356,71377
91366,71377
71738,71377
92698,71377
93700,71377
93701,71377
92507,71378
91336,71378
68953,71378
87504,71379
92287,71379
91898,71379
92652,71379
93232,71379
93786,71381
71605,71384
146332,71390
71611,71391
91688,71391
91634,71391
69030,71392
93331,71394
92574,71394
93566,71398
91868,71398
91872,71398
91873,71398
92090,71398
92091,71398
92064,71398
92065,71398
92066,71398
92075,71398
71748,71398
92079,71405
92339,71409
68968,71409
70446,71413
91007,71415
91888,71415
92778,71415
99592,71415
93509,71417
92477,71421
70772,71421
71488,71422
93343,71422
71397,71423
71537,71423
68550,71423
93340,71425
93236,71428
93127,71428
92367,71432
90954,71432
93875,71433
93877,71433
91242,71434
92028,71434
91734,71434
91649,71434
91525,71441
92793,71441
93283,71443
93284,71443
93124,71444
91715,71444
91060,71444
93876,71444
99646,71444
93948,71455
93691,71455
91643,71455
91829,71455
91486,71455
91487,71455
91484,71455
91647,71455
91632,71455
93230,71455
93634,71455
92855,71455
93018,71455
92965,71455
92962,71455
92714,71455
93087,71458
102992,71463
103012,71463
92152,71473
92155,71473
91216,71473
93278,71477
91573,71483
91161,71483
78332,71483
70843,71483
93820,71483
87498,71484
91815,71484
91816,71484
92941,71486
93416,71490
93545,71492
93022,71492
93551,71494
92210,71497
93083,71498
68956,71498
91280,71500
93052,71500
93055,71500
93218,71500
93579,71500
93580,71500
92654,71500
92629,71500
92377,71500
92458,71500
91805,71500
91534,71500
93850,71500
93729,71501
93726,71501
93727,71501
92252,71503
93130,71503
71625,71503
71461,71503
92149,71504
91824,71504
91725,71504
91058,71508
70447,71511
71034,71511
93125,71511
92745,71511
129044,71511
92449,71513
91105,71514
91106,71514
171392,71514
171393,71514
91008,71515
91911,71515
91635,71515
92980,71515
92931,71516
92659,71516
92664,71516
92630,71516
93093,71516
93428,71516
91572,71516
91535,71516
91903,71516
92352,71516
92353,71516
68929,71518
93798,71519
142996,71528
71631,71528
91810,71528
91776,71529
93272,71529
92746,71531
71646,71531
92790,71533
91210,71534
147253,71534
147254,71534
93363,71535
93191,71535
93393,71535
92001,71535
93454,71540
163219,71540
93736,71545
93177,71546
92269,71546
70974,71546
70970,71546
69934,71554
91130,71554
91131,71554
71710,71558
92398,71568
91609,71568
93112,71568
93310,71572
91866,71572
92481,71572
92369,71572
91940,71572
91129,71572
91089,71572
91303,71572
93565,71573
91365,71577
91271,71579
71728,71579
92637,71579
92627,71579
92628,71579
92571,71579
92375,71579
92209,71579
91870,71579
91901,71579
91902,71579
93862,71579
91395,71582
92335,71585
93467,71585
92337,71587
92338,71587
94178,71587
91419,71588
91227,71591
163021,71596
93735,71597
71601,71599
93024,71602
93668,71603
93240,71603
93241,71603
71662,71603
94005,71603
94007,71603
91774,71617
92425,71620
92439,71627
92037,71627
91727,71627
91728,71627
91729,71627
91468,71627
91605,71627
93246,71627
93273,71627
93025,71627
93051,71627
92603,71627
92530,71627
92759,71627
92763,71627
92764,71627
92693,71627
92729,71627
91039,71627
87722,71627
87686,71627
94053,71627
91326,71632
91828,71636
94359,71637
91394,71638
91396,71639
91603,71639
92385,71639
92669,71639
92600,71639
93273,71639
93164,71639
91037,71639
91134,71639
162994,71642
87935,71647
93322,71652
92771,71653
92170,71658
91631,71658
91657,71658
91562,71659
91429,71659
91049,71659
91207,71661
87738,71666
92123,71666
163055,71666
93744,71671
93788,71671
93804,71671
93942,71671
92136,71671
92008,71671
92361,71671
92254,71671
91574,71671
91689,71671
92727,71671
92812,71671
92814,71671
92864,71671
92873,71671
93247,71671
93161,71671
93636,71671
90994,71671
92565,71673
92566,71673
92568,71673
92569,71673
92570,71673
92032,71673
92033,71673
91861,71675
163013,71675
92479,71677
92422,71677
87728,71677
87729,71677
91211,71681
92487,71683
92132,71685
92850,71685
92972,71685
93238,71687
91937,71687
91565,71687
90984,71687
91077,71687
162720,71687
91465,71688
91390,71688
93367,71688
92937,71688
92967,71690
93316,71690
93460,71695
92115,71695
91956,71701
93339,71705
93206,71705
92679,71705
91083,71705
93891,71705
93856,71705
93858,71705
93860,71705
93760,71708
162953,71708
92857,71708
92146,71708
91750,71708
93803,71709
91333,71712
93434,71724
141992,71724
93646,71726
92183,71729
92388,71740
92531,71740
69436,71740
69202,71740
71551,71741
91723,71741
91713,71741
162639,71746
91435,71751
92909,71754
91463,71755
91619,71755
93482,71756
91194,71756
93843,71757
99562,71761
91562,71762
93665,71768
93027,71768
77322,71768
142996,71768
93026,71775
93864,71781
143576,71785
121253,71785
92468,71793
92266,71808
87512,71808
91054,71808
92001,71809
93363,71809
92490,71811
71625,71812
93315,71813
93358,71815
93359,71815
93436,71815
93432,71815
69295,71815
70583,71815
92525,71816
92498,71816
94416,71817
94167,71817
94102,71817
94103,71817
94098,71817
170991,71818
93244,71825
91135,71825
91136,71825
91133,71825
87526,71826
93585,71827
91802,71827
92219,71828
87520,71829
94010,71829
93936,71829
100219,71830
94045,71833
91580,71833
71858,71834
87941,71834
92357,71835
93183,71835
92606,71835
162991,71835
99540,71859
92953,71859
99557,71860
99558,71860
92821,71862
93221,71862
92993,74805
87709,74805
93681,75519
93682,75519
111473,76351
119033,76689
163056,76689
69460,76689
92517,76689
92350,77163
78160,78143
78157,78156
171335,78156
78159,78158
78190,78189
69344,78209
78212,78211
121264,78213
68813,78227
91567,78797
92650,78797
93707,78852
91063,78872
91064,78872
91693,82817
92318,82817
111573,82940
140352,83169
94181,83212
83248,83212
83570,83569
92959,83569
93827,83569
82760,83581
83625,83624
83989,84110
91934,84599
171353,86499
70942,87136
69286,87137
93836,87137
91765,87144
92897,87144
94416,87145
94415,87145
94409,87145
94412,87145
91627,87457
91628,87457
71536,87457
69372,87459
92730,87460
92744,87460
93188,87460
170057,87460
167320,87467
93935,87511
87500,87511
100513,87554
160337,87650
91232,87656
93091,87672
91946,87689
91949,87689
162883,87705
119373,87721
91332,87743
68677,87746
69413,87776
71219,87776
91780,87776
93171,87776
93562,87798
93960,87801
91020,87802
91012,87802
91112,87808
92547,87808
91399,87808
170990,87813
94819,87817
93749,87827
91542,87827
92208,87917
92394,87918
93990,87919
92076,87924
91958,87927
91541,87928
91428,87929
93035,87934
91808,87938
93997,87938
92099,87940
151467,87943
87146,87945
91747,88199
92922,88199
