TH_T_U_UID,TERM,CLA_GR_UID,BROAD_TERM_U_UID,TOP_TERM_U_UID
133725,SERBIAN ORTHODOX CHURCH,1,133692,133667
133726,SEVENTH DAY ADVENTISTS CHAPEL,1,140633,133667
133727,SWEDENBORGIAN CHAPEL,1,133697,133667
133730,ROMAN CATHOLIC CHURCH,1,133683,133667
133732,CATHEDRAL,1,134740,133667
133733,SECULAR CATHEDRAL,1,133732,133667
133734,CHAPEL,1,134740,133667
133735,BRIDGE CHAPEL,1,133734,133667
133736,CAUSEWAY CHAPEL,1,133734,133667
133737,CEMETERY CHAPEL,1,133734,133667
133738,CHANTRY CHAPEL,1,133734,133667
133739,COLLEGIATE CHAPEL,1,133734,133667
133740,DOMESTIC CHAPEL,1,133734,133667
133741,GUILD CHAPEL,1,133734,133667
133742,LADY CHAPEL,1,133734,133667
133743,MILITARY CHAPEL,1,133734,133667
133744,MORTUARY CHAPEL,1,133734,133667
133745,PRIVATE CHAPEL,1,133734,133667
133746,ROMAN CATHOLIC CHAPEL,1,133734,133667
133747,ROYAL CHAPEL,1,133745,133667
133748,HOSPITALLERS CHURCH,1,133683,133667
133749,TEMPLARS CHURCH,1,133683,133667
133750,CLOISTER,1,133667,133667
133752,CLOISTER GARTH,1,133667,133667
133753,COLLEGE OF SECULAR PRIESTS,1,133667,133667
133754,COLLEGE OF THE VICARS CHORAL,1,133753,133667
133755,CROSS,1,133667,133667
133756,BOUNDARY CROSS,1,133755,133667
133757,MARKET CROSS,1,133755,133667
133758,PREACHING CROSS,1,133755,133667
133759,TOWN CROSS,1,133755,133667
133760,VILLAGE CROSS,1,133755,133667
133761,WAYSIDE CROSS,1,133755,133667
133762,CROSS INCISED STONE,1,133667,133667
133763,CUP AND RING MARKED STONE,1,133971,133667
133764,CUP MARKED STONE,1,133971,133667
133765,CURSUS,1,133667,133667
133766,FONT,1,133667,133667
133767,FUNERARY SITE,1,133667,133667
133768,BARROW,1,133767,133667
133769,BANK BARROW,1,133768,133667
133770,CHAMBERED BARROW,1,133768,133667
133771,CHAMBERED ROUND BARROW,1,133770,133667
133772,D SHAPED BARROW,1,133768,133667
133773,LONG BARROW,1,133768,133667
133774,CHAMBERED LONG BARROW,1,133773,133667
133775,OVAL BARROW,1,133773,133667
133776,POND BARROW,1,133768,133667
133777,RING BARROW,1,133768,133667
133778,ROUND BARROW,1,133768,133667
133779,BELL BARROW,1,133778,133667
133780,CHAMBERED ROUND BARROW,1,133778,133667
133782,BELL DISC BARROW,1,133778,133667
133783,DISC BARROW,1,133778,133667
133784,SAUCER BARROW,1,133778,133667
133785,SQUARE BARROW,1,133768,133667
133786,BURIAL,1,133767,133667
133787,ANIMAL BURIAL,1,133786,133667
133792,BOG BURIAL,1,133786,133667
133794,CART BURIAL,1,133786,133667
133795,CHARCOAL BURIAL,1,133786,133667
133796,CREMATION,1,133767,133667
133797,CINERARY URN,1,133796,133667
133798,GYPSUM BURIAL,1,133786,133667
133799,INHUMATION,1,133786,133667
133800,CONTRACTED INHUMATION,1,133799,133667
133801,CROUCHED INHUMATION,1,133799,133667
133802,EXTENDED INHUMATION,1,133799,133667
133803,FLEXED INHUMATION,1,133799,133667
133804,SHIP BURIAL,1,133786,133667
133805,TILE BURIAL,1,133786,133667
133806,BURIAL PIT,1,133767,133667
133807,CHARNEL PIT,1,133806,133667
133808,CREMATION PIT,1,133806,133667
133809,PLAGUE PIT,1,133806,133667
133810,BURIAL VAULT,1,133767,133667
133811,FAMILY VAULT,1,133810,133667
133812,CAIRN,1,143383,143383
133823,TOR CAIRN,1,133667,133667
133824,CATACOMB (FUNERARY),1,133767,133667
133825,CEMETERY,1,133767,133667
133826,BARROW CEMETERY,1,133825,133667
133827,CAIRN CEMETERY,1,133825,133667
133828,CREMATION CEMETERY,1,133825,133667
133829,ENCLOSED CREMATION CEMETERY,1,133828,133667
133830,URNFIELD,1,133828,133667
133832,INHUMATION CEMETERY,1,133825,133667
133833,ANIMAL CEMETERY,1,133832,133667
133834,BAPTIST BURIAL GROUND,1,202678,133667
133835,CHURCHYARD,1,143262,133667
133836,CIST GRAVE CEMETERY,1,133832,133667
133837,EASTERN ORTHODOX CEMETERY,1,133832,133667
133838,FRIENDS BURIAL GROUND,1,202678,133667
133839,JEWISH CEMETERY,1,133832,133667
133840,MILITARY CEMETERY,1,133832,133667
133841,PLAGUE CEMETERY,1,133832,133667
133843,CHAMBERED TOMB,1,133767,133667
133844,CHAMBERED BARROW,1,133843,133667
133845,CHAMBERED LONG BARROW,1,133844,133667
133846,CHAMBERED ROUND BARROW,1,133844,133667
133847,CHAMBERED CAIRN,1,133843,133667
133848,ENTRANCE GRAVE,1,133843,133667
133849,CHAMBERED LONG CAIRN,1,133847,133667
133850,CHAMBERED ROUND CAIRN,1,133847,133667
133853,PASSAGE GRAVE,1,133843,133667
133854,PORTAL DOLMEN,1,133843,133667
133855,CHARNEL HOUSE,1,202705,133667
133856,CIST,1,133767,133667
133857,LINTEL GRAVE,1,133856,133667
133859,COFFIN,1,133767,133667
133860,TREE TRUNK COFFIN,1,133859,133667
133861,SARCOPHAGUS,1,133859,133667
133862,COLUMBARIUM,1,133767,133667
133863,CREMATORIUM,1,133767,133667
133864,CRYPT,1,133767,133667
133865,GRAVE,1,133767,133667
133866,GRAVE SLAB,1,144563,133667
133867,CROSS SLAB,1,133866,133667
133868,GRAVESTONE,1,144563,133667
133869,PILLOW STONE,1,133865,133667
133870,HOGBACK STONE,1,144563,133667
133871,HOLY WELL,1,133667,133667
133872,HUMAN REMAINS,1,133767,133667
133873,LONG MOUND,1,133767,133667
133874,MORT SAFE,1,133767,133667
133875,MORTUARY,1,134531,134482
133876,MORTUARY ENCLOSURE,1,133767,133667
133877,MORTUARY HOUSE,1,133767,133667
133878,OSSUARY,1,133767,133667
133879,TOMB,1,133767,133667
133880,ALTAR TOMB,1,133879,133667
133881,CHEST TOMB,1,133879,133667
133882,TABLE TOMB,1,133879,133667
133883,TOMBSTONE,1,133879,133667
133884,WALL MONUMENT,1,135067,135065
133885,GRAVESIDE SHELTER,1,133667,133667
133886,HENGE ENCLOSURE,1,135753,133667
133887,HENGIFORM MONUMENT,1,135753,133667
133888,HERMITAGE (RELIGIOUS),1,133667,133667
133889,HILL FIGURE,1,133667,133667
133890,INSCRIBED STONE,1,133667,133667
133891,KERBED BOULDER,1,133667,133667
133892,LYCH GATE,1,133667,133667
133893,MAYPOLE,1,133667,133667
133894,MAZE,1,133667,133667
133896,MONUMENTAL MOUND,1,135357,143383
133897,MOSQUE,1,134740,133667
133898,OGHAM STONE,1,133667,133667
133899,PIT CIRCLE,1,133667,133667
133900,PLAIN AN GWARRY,1,133667,133667
133901,POOR SOULS LIGHT,1,133767,133667
133902,PREACHING PIT,1,134740,133667
133903,PRECINCT WALL,1,135299,143383
133904,PRIEST HOLE,1,133667,133667
133905,RECUMBENT STONE,1,133667,133667
133906,RELIGIOUS HOUSE,1,133667,133667
133907,ABBEY,1,133906,133667
133908,CAMERA,1,133906,133667
133909,HOSPITALLERS CAMERA,1,133908,133667
133910,TEMPLARS CAMERA,1,133908,133667
133911,CELL,1,133906,133667
133912,ALIEN CELL,1,133911,133667
133913,AUGUSTINIAN ALIEN CELL,1,133912,133667
133914,BENEDICTINE ALIEN CELL,1,133912,133667
133915,CISTERCIAN ALIEN CELL,1,133912,133667
133916,PREMONSTRATENSIAN ALIEN CELL,1,133912,133667
133917,TIRONIAN ALIEN CELL,1,133912,133667
133918,BENEDICTINE CELL,1,133911,133667
133919,CISTERCIAN CELL,1,133911,133667
133920,CLUNIAC CELL,1,133911,133667
133921,GILBERTINE CELL,1,133911,133667
133922,PREMONSTRATENSIAN CELL,1,133911,133667
133923,DOUBLE HOUSE,1,133906,133667
133924,FRIARY,1,133906,133667
133925,BRIDGETTINE DOUBLE HOUSE,1,133923,133667
133926,FONTEVRAULTINE DOUBLE HOUSE,1,133923,133667
133927,GILBERTINE DOUBLE HOUSE,1,133923,133667
133929,CARMELITE FRIARY,1,133924,133667
133930,DOMINICAN FRIARY,1,133924,133667
133931,FRANCISCAN FRIARY,1,133924,133667
133932,FRIARY OF CRUTCHED FRIARS,1,133924,133667
133933,FRIARY OF FRIARS OF THE SACK,1,133924,133667
133934,FRIARY OF PIED FRIARS,1,133924,133667
133935,GRANGE,1,133906,133667
133936,BENEDICTINE GRANGE,1,133935,133667
133937,CARTHUSIAN GRANGE,1,133935,133667
133938,CISTERCIAN GRANGE,1,133935,133667
133939,CLUNIAC GRANGE,1,133935,133667
133940,COURERY,1,133906,133667
133941,MONASTERY,1,133906,133667
133942,AUGUSTINIAN MONASTERY,1,133941,133667
133943,BENEDICTINE MONASTERY,1,133941,133667
133944,BONHOMMES MONASTERY,1,133941,133667
133945,CARTHUSIAN MONASTERY,1,133941,133667
133946,CISTERCIAN MONASTERY,1,133941,133667
133947,CLUNIAC MONASTERY,1,133941,133667
133948,GILBERTINE MONASTERY,1,133941,133667
133949,GRANDMONTINE MONASTERY,1,133941,133667
133950,PREMONSTRATENSIAN MONASTERY,1,133941,133667
133951,SAVIGNIAC MONASTERY,1,133941,133667
133952,TIRONIAN MONASTERY,1,133941,133667
133953,TRINITARIAN MONASTERY,1,133941,133667
133954,NUNNERY,1,133906,133667
133955,ANGLICAN NUNNERY,1,133954,133667
133956,AUGUSTINIAN NUNNERY,1,133954,133667
133957,BENEDICTINE NUNNERY,1,133954,133667
133958,CISTERCIAN NUNNERY,1,133954,133667
133959,CLUNIAC NUNNERY,1,133954,133667
133960,DOMINICAN NUNNERY,1,133954,133667
133961,FRANCISCAN NUNNERY,1,133954,133667
133962,PREMONSTRATENSIAN NUNNERY,1,133954,133667
133963,SISTERS OF ST JOHN NUNNERY,1,133954,133667
133964,PRECEPTORY,1,133906,133667
133965,HOSPITALLERS PRECEPTORY,1,133964,133667
133966,TEMPLARS PRECEPTORY,1,133964,133667
133967,PRIORY,1,133906,133667
133968,ALIEN PRIORY,1,133967,133667
133969,RITUAL PIT,1,133667,133667
133970,RITUAL SHAFT,1,133667,133667
133971,ROCK CARVING,1,183871,133667
133972,RUNE STONE,1,133667,133667
133973,SACRISTY,1,133667,133667
133974,SANCTUARY,1,133667,133667
133975,SHEILA NA GIG,1,133667,133667
133976,SHRINE,1,133667,133667
133977,STANDING STONE,1,133667,133667
133978,STATIONAL MONUMENT,1,133667,133667
133979,STOCKADED ENCLOSURE,1,133667,133667
133980,STONE ALIGNMENT,1,133667,133667
133981,STONE AVENUE,1,136639,143383
133982,STONE CIRCLE,1,133667,133667
133983,EMBANKED STONE CIRCLE,1,133982,133667
133984,RECUMBENT STONE CIRCLE,1,133982,133667
133985,STONE SETTING,1,133667,133667
133986,SYNAGOGUE,1,134740,133667
133987,SYNODAL HALL,1,133667,133667
133988,TEMPLE,1,134740,133667
133989,BUDDHIST TEMPLE,1,133988,133667
133990,MITHRAEUM,1,133988,133667
133991,TIMBER CIRCLE,1,133667,133667
133992,VESTRY,1,133667,133667
133997,CHANTRY COLLEGE,1,133753,133667
133998,AUGUSTINIAN CELL,1,133911,133667
133999,CANOPIED TOMB,1,133879,133667
134000,GALILEE,1,133734,133667
134001,HUGUENOT BURIAL GROUND,1,133832,133667
134002,HUGUENOT CHURCH,1,140633,133667
134003,AGRICULTURE AND SUBSISTENCE,1,,134003
134004,ABATTOIR,1,135402,132062
134005,AGGREGATE FIELD SYSTEM,1,134095,134003
134006,AGRICULTURAL BUILDING,1,134003,134003
134007,GRANGE,1,134133,134003
134008,BENEDICTINE GRANGE,1,134007,134003
134009,CARTHUSIAN GRANGE,1,134007,134003
134010,CISTERCIAN GRANGE,1,134007,134003
134011,CLUNIAC GRANGE,1,134007,134003
134012,ALLOTMENT,1,134133,134003
134013,POUND,1,135092,134003
134014,ANIMAL SHED,1,135100,134003
134015,ANIMAL WASH,1,134003,134003
134016,APIARY,1,134006,134003
134017,CIDER MILL,1,135098,134003
134018,PLOUGH MARKS,1,134070,134003
134019,ASH HOUSE,1,134006,134003
134020,BARK HOUSE,1,134006,134003
134021,BANK BARN,1,134023,134003
134022,BARK PEELERS HUT,1,134006,134003
134023,BARN,1,135100,134003
134024,BARN PLATFORM,1,135291,143383
134025,HEN BATTERY,1,134006,134003
134026,BEE BOLE,1,134003,134003
134027,BEE GARDEN,1,131898,131783
134028,BEE SKEP,1,134029,134003
134029,BEEHIVE,1,134003,134003
134030,BOAR PEN,1,135092,134003
134031,BREWHOUSE,1,135098,134003
134032,HOP GARDEN,1,134133,134003
134033,BROAD RIDGE AND FURROW,1,134165,134003
134034,DEER POUND,1,134125,134003
134035,BULL PEN,1,135092,134003
134036,COW HOUSE,1,134014,134003
134037,CATTLE SHELTER,1,134014,134003
134038,TROUGH,1,134003,134003
134039,CATTLE TROUGH,1,134038,134003
134040,HORSE TROUGH,1,134038,134003
134043,CELTIC FIELD SYSTEM,1,134095,134003
134044,CENTURIATED AREA,1,134095,134003
134045,CHAFF HOUSE,1,135100,134003
134046,HUNTING FOREST,1,134125,134003
134047,POULTRY HOUSE,1,134006,134003
134048,CHITTING HOUSE,1,135100,134003
134049,CHURN STAND,1,134003,134003
134050,CIDER PRESS,1,135098,134003
134051,CIDER VAULT,1,135098,134003
134052,COASTAL FISH WEIR,1,134101,134003
134053,COAXIAL FIELD SYSTEM,1,134095,134003
134054,HORSE ENGINE,1,135431,132062
134055,COMBINATION BARN,1,134023,134003
134056,COMBINATION FARM BUILDING,1,135100,134003
134057,COMMON LAND,1,134133,134003
134058,RABBIT WARREN,1,134003,134003
134059,REAVE,1,135299,143383
134061,COPPICE BARN,1,134023,134003
134062,CORD RIG,1,134070,134003
134063,CORN DRYING KILN,1,135402,132062
134064,CORN DRYING OVEN,1,135402,132062
134065,CORN MILL,1,135402,132062
134067,DAIRY,1,135098,134003
134068,CROFT,1,134133,134003
134069,CURING HOUSE,1,135402,132062
134070,CULTIVATION MARKS,1,134003,134003
134071,CULTIVATION TERRACE,1,134133,134003
134072,DECOY POND,1,134125,134003
134073,DEER HOUSE,1,134125,134003
134074,DEER PARK,1,134125,134003
134075,DEER LEAP,1,134125,134003
134076,DEER SHELTER,1,134125,134003
134077,LONGHOUSE,1,135100,134003
134078,DONKEY HOUSE,1,134014,134003
134079,DOVECOTE,1,134006,134003
134081,DUCK HOUSE,1,134006,134003
134082,EEL TRAP,1,135102,134003
134083,ENCLOSED FIELD SYSTEM,1,134095,134003
134084,FALCONRY,1,134125,134003
134085,FARM,1,134133,134003
134086,FARMSTEAD,1,134085,134003
134087,FARMYARD,1,134003,134003
134088,FARMYARD CAUSEWAY,1,134003,134003
134089,FATTENING HOUSE,1,134014,134003
134090,FERME ORNEE,1,134085,134003
134091,FIELD,1,134133,134003
134092,FIELD BARN,1,134023,134003
134093,FIELD BOUNDARY,1,135295,143383
134094,FIELD DRAIN,1,134430,134417
134095,FIELD SYSTEM,1,134133,134003
134096,FISH FARM,1,135102,134003
134097,FISH GARTH,1,134102,134003
134098,FISH LADDER,1,134102,134003
134099,FISH LOCK,1,134102,134003
134100,FISH TRAP,1,134102,134003
134101,FISH WEIR,1,134100,134003
134102,FISHERY,1,135102,134003
134103,FISHERY MOUND,1,134102,134003
134105,FODDER STORE,1,135100,134003
134106,GRAIN DRIER,1,135100,134003
134107,GRANGE BARN,1,134023,134003
134109,GRAIN SILO,1,135100,134003
134110,GRAIN STORAGE PIT,1,134182,134003
134111,GRANARY,1,135098,134003
134112,GRASS DRYING SHED,1,135100,134003
134114,HAY BARN,1,134023,134003
134115,HAYLOFT,1,135100,134003
134116,HILLTOP ENCLOSURE,1,134003,134003
134117,HOGGERY,1,134003,134003
134118,HOP BARN,1,134023,134003
134120,HOP KILN,1,135098,134003
134121,HOP STORE,1,135098,134003
134122,HORSE HOSPITAL,1,134594,134482
134123,HUNGER HOUSE,1,134014,134003
134124,HUNTING LODGE,1,134125,134003
134125,HUNTING SITE,1,134003,134003
134126,OPEN FIELD,1,134095,134003
134127,KELP PIT,1,134003,134003
134128,KENNELS,1,134125,134003
134129,KILL SITE,1,134003,134003
134131,LAITHE,1,135100,134003
134132,LAITHE HOUSE,1,135100,134003
134133,LAND USE SITE,1,134003,134003
134134,LAZY BEDS,1,134133,134003
134135,LYNCHET,1,134070,134003
134136,LINHAY,1,135100,134003
134137,MALT HOUSE,1,135098,134003
134138,MALT KILN,1,135098,134003
134139,MANOR,1,134133,134003
134140,MANOR FARM,1,134085,134003
134141,MESSUAGE,1,134133,134003
134142,MARKET GARDEN,1,134133,134003
134143,MILKING PARLOUR,1,135098,134003
134144,MILKING SHED,1,135098,134003
134145,MIXING HOUSE BARN,1,134023,134003
134146,MODEL FARM,1,134085,134003
134147,NARROW RIDGE AND FURROW,1,134165,134003
134148,NET HOUSE,1,135102,134003
134149,NET LOFT,1,135102,134003
134151,OASTHOUSE,1,135098,134003
134152,ORCHARD,1,135681,134003
134153,OUTFARM,1,135100,134003
134154,OX BOW STONE,1,134003,134003
134155,OXHOUSE,1,134014,134003
134156,OYSTER BEDS,1,135102,134003
134157,PARK PALE,1,134125,134003
134158,CALF HOUSE,1,134014,134003
134159,PIGSTY,1,134014,134003
134160,BOILING HOUSE,1,135100,134003
134161,PILLOW MOUND,1,134003,134003
134162,PLANTATION BANK,1,134133,134003
134163,PLOUGH HEADLAND,1,134091,134003
134164,RANCH BOUNDARY,1,135295,143383
134165,RIDGE AND FURROW,1,134070,134003
134166,STACK STAND,1,134003,134003
134167,SHEEP HOUSE,1,134014,134003
134168,SHEEP DIP,1,134015,134003
134169,SHEEP FOLD,1,134003,134003
134170,SHEEP SHEARING SHED,1,135100,134003
134171,SHELL MIDDEN,1,135725,134003
134172,SHELTER SHED,1,134014,134003
134173,SHEPHERDS HUT,1,134006,134003
134174,SHOOTING STAND,1,134125,134003
134175,SILKWORM FARM,1,134085,134003
134176,SMALLHOLDING,1,134133,134003
134177,STABLE,1,134014,134003
134178,STACK YARD,1,134003,134003
134179,STADDLE STONE,1,134003,134003
134180,STALLION HOUSE,1,134014,134003
134181,STOCK ENCLOSURE,1,134003,134003
134182,STORAGE PIT,1,134003,134003
134183,STOREHOUSE,1,135290,135088
134184,STEAM PLOUGHED RIG,1,134165,134003
134185,STRIP LYNCHET,1,134135,134003
134186,SWANNERY,1,134003,134003
134187,THRESHING BARN,1,134023,134003
134188,THRESHING FLOOR,1,134003,134003
134189,TITHE BARN,1,134023,134003
134190,TURF STACK,1,134003,134003
134191,VACCARY,1,134003,134003
134192,VERMIN TRAP,1,134003,134003
134193,VINEYARD,1,134133,134003
134194,WASHFOLD,1,134015,134003
134195,WATER MEADOW,1,134095,134003
134196,WATERCRESS BED,1,134133,134003
134197,WOOD BANK,1,134133,134003
134198,TRANSPORT,1,,134198
134199,ACCOMMODATION BRIDGE,1,135240,134198
134200,AIRFIELD,1,135239,134198
134201,AIR TERMINAL,1,135239,134198
134202,CONTROL TOWER,1,135239,134198
134203,AIRCRAFT,1,135239,134198
134204,AIRCRAFT HANGAR,1,134276,134198
134205,AIRPORT,1,135239,134198
134206,TEST HOUSE,1,135239,134198
134207,AIRSHIP HANGAR,1,134276,134198
134209,HARBOUR,1,135265,134198
134210,APPROACH ROAD,1,134220,134198
134211,AQUEDUCT,1,135265,134198
134212,ATMOSPHERIC RAILWAY ENGINE HOUSE,1,135244,134198
134213,ATMOSPHERIC RAILWAY,1,134330,134198
134214,BALANCE BEAM,1,135265,134198
134217,BOAT HOUSE,1,135265,134198
134218,BOAT LIFT,1,135241,134198
134219,BOAT YARD,1,135265,134198
134220,ROAD,1,135247,134198
134221,BRIDLEWAY,1,134222,134198
134222,TRACKWAY,1,134220,134198
134223,BUS DEPOT,1,135247,134198
134224,BUS SHELTER,1,135247,134198
134225,BUS STATION,1,135247,134198
134226,CABMENS SHELTER,1,135247,134198
134227,CANAL,1,134241,134198
134228,CANAL BASIN,1,134241,134198
134229,CANAL BOAT YARD,1,134241,134198
134230,CANAL BRIDGE,1,135240,134198
134231,CANAL OFFICE,1,134241,134198
134232,CANAL DOCK,1,134264,134198
134234,CANAL FEEDER,1,134241,134198
134235,CANAL GATEHOUSE,1,134241,134198
134236,CANAL LIFT,1,135241,134198
134237,CANAL LOCK,1,135243,134198
134238,CANAL MILEPOST,1,134313,134198
134239,CANAL RESERVOIR,1,134463,134417
134240,CANAL SLUICE,1,134241,134198
134241,CANAL TRANSPORT SITE,1,135265,134198
134242,CANAL TUNNEL,1,135377,134198
134243,CANAL TUNNEL PORTAL,1,134403,134198
134244,CANAL WHARF,1,134292,134198
134245,CAR PARK,1,135247,134198
134246,CAR RAMP,1,134353,134198
134247,CARRIAGE HOUSE,1,135247,134198
134248,CARRIAGE RAMP,1,134353,134198
134249,CARRIAGEWAY,1,202691,134198
134250,CART SHED,1,135247,134198
134251,CATTLE DOCKS,1,134198,134198
134252,CAUSEWAY,1,134198,134198
134253,SUSPENSION BRIDGE,1,135240,134198
134254,CIVIL AIRPORT,1,134205,134198
134255,CLAPPER BRIDGE,1,166364,143383
134257,CLIFF RAILWAY,1,134330,134198
134258,COACH HOUSE,1,135247,134198
134259,COACHING INN STABLE,1,135247,134198
134260,COAL JETTY,1,134300,134198
134261,COBBLED ROAD,1,134220,134198
134262,COLLIERY RAILWAY,1,134330,134198
134263,DIRECTION STONE,1,135247,134198
134264,DOCK,1,135265,134198
134265,DOCKYARD,1,135265,134198
134266,DOCKYARD RAILWAY,1,134330,134198
134267,DRY DOCK,1,134264,134198
134269,ENGINE SHED,1,135244,134198
134270,PETROL STATION,1,135247,134198
134271,SIGNPOST,1,135247,134198
134272,FIRE ENGINE HOUSE,1,134198,134198
134274,FLASH LOCK,1,135243,134198
134275,FLOOD LOCK,1,135243,134198
134276,HANGAR,1,182740,134198
134277,FLYOVER,1,135247,134198
134278,FOG DISPERSAL PLANT,1,135239,134198
134279,FOOTBRIDGE,1,135240,134198
134280,PEDESTRIAN TUNNEL,1,135363,134198
134281,FOOTPATH,1,134325,134198
134282,FORD,1,135247,134198
134283,FUNICULAR RAILWAY,1,134330,134198
134284,GARAGE,1,135247,134198
134285,GAUGE HOUSE,1,135265,134198
134286,GOODS CLEARING HOUSE,1,135247,134198
134287,GOODS YARD,1,135244,134198
134288,GOODS SHED,1,135244,134198
134289,GOODS STATION,1,135244,134198
134290,RAILWAY OFFICE,1,135244,134198
134291,GUILLOTINE LOCK,1,135243,134198
134292,WHARF,1,135265,134198
134293,HACKNEY STABLE,1,135247,134198
134294,RAILWAY STATION,1,135244,134198
134295,INCLINED PLANE,1,134198,134198
134296,HOLDING SHED,1,135244,134198
134297,HORSE TROUGH,1,135247,134198
134298,HORSE TUNNEL,1,135377,134198
134299,INCLINE WINDING ENGINE,1,134414,134198
134300,JETTY,1,135265,134198
134301,STAITHE,1,135265,134198
134302,JUNCTION LOCK,1,135243,134198
134303,QUAY,1,135265,134198
134304,LANDING PIER,1,135265,134198
134305,LANDING STAGE,1,135265,134198
134306,RUNWAY,1,135239,134198
134307,LEVEL CROSSING,1,135244,134198
134308,LEVEL CROSSING GATE,1,135244,134198
134309,MARSHALLING YARD,1,135244,134198
134310,MAIL BAG NET,1,135244,134198
134311,MEWS,1,135247,134198
134312,MILESTONE,1,134198,134198
134313,MILEPOST,1,134198,134198
134314,MILITARY CANAL,1,134227,134198
134315,MILK DEPOT,1,134198,134198
134316,MINERAL RAILWAY,1,134330,134198
134317,MINIATURE RAILWAY,1,134330,134198
134319,MOORING BOLLARD,1,135265,134198
134320,MOUNTING BLOCK,1,135247,134198
134321,MULTI STOREY CAR PARK,1,134245,134198
134323,PACKHORSE BRIDGE,1,135240,134198
134324,PARKING METER,1,135247,134198
134325,PATH,1,135363,134198
134326,PAVEMENT,1,135363,134198
134327,PETROL PUMP,1,135247,134198
134328,PEDESTRIAN CROSSING,1,135363,134198
134329,POUND LOCK,1,135243,134198
134330,RAILWAY,1,135244,134198
134331,RAILWAY BRIDGE,1,135240,134198
134332,RAILWAY BUFFET,1,135244,134198
134334,RAILWAY EMBANKMENT,1,135244,134198
134335,RAILWAY HOTEL,1,135244,134198
134336,RAILWAY JUNCTION,1,135244,134198
134337,RAILWAY LIFT,1,135241,134198
134338,RAILWAY LOOKOUT TOWER,1,135244,134198
134339,RAILWAY PLATFORM,1,135244,134198
134340,RAILWAY STOREHOUSE,1,135244,134198
134342,RAILWAY SIDING,1,135244,134198
134343,RAILWAY SIGNAL,1,135244,134198
134344,RAILWAY STABLE,1,135244,134198
134345,SIGNAL BOX,1,135244,134198
134346,RAILWAY TUNNEL,1,135244,134198
134347,RAILWAY TUNNEL PORTAL,1,134403,134198
134348,RAILWAY TURNTABLE,1,135244,134198
134349,RAILWAY VIADUCT,1,135244,134198
134350,WATER POINT,1,144724,134417
134351,RAILWAY WORKS,1,135244,134198
134352,RAISED PAVEMENT,1,134326,134198
134353,RAMP,1,135247,134198
134354,REFUSE TRANSFER DEPOT,1,134198,134198
134355,RIDGEWAY,1,135363,134198
134357,RIVER INTAKE GAUGE,1,144764,134417
134358,RIVER LOCK,1,135243,134198
134359,RIVER NAVIGATION,1,135265,134198
134360,RIVER WHARF,1,134292,134198
134361,ROAD BRIDGE,1,135240,134198
134362,ROAD JUNCTION,1,135247,134198
134363,ROAD TUNNEL,1,135247,134198
134364,ROAD TUNNEL PORTAL,1,134403,134198
134365,ROAD VIADUCT,1,135247,134198
134366,ROADSIDE LIGHTHOUSE,1,135247,134198
134367,ROVING BRIDGE,1,135240,134198
134368,SHIP CANAL,1,134227,134198
134369,SLIPWAY,1,135265,134198
134370,SLUICE GATE,1,144764,134417
134371,STABLE,1,134198,134198
134372,STAUNCH,1,135265,134198
134373,STEPPING STONES,1,135363,134198
134374,STILE,1,135363,134198
134375,STOP LOCK,1,135243,134198
134376,SUBWAY,1,135363,134198
134377,SURVEY TOWER,1,134198,134198
134378,SWING BRIDGE,1,136734,134198
134379,TERMINUS STONE,1,135247,134198
134380,TETHERING POST,1,135247,134198
134381,TIDAL LOCK,1,135243,134198
134382,TIDAL DOOR,1,135265,134198
134383,TIDE GAUGE,1,135265,134198
134384,TOLL HOUSE,1,135247,134198
134385,TOLL BOARD,1,135247,134198
134386,TOLL BOUNDARY MARKER,1,135247,134198
134387,TOLL BRIDGE,1,135240,134198
134388,TOLL GATE,1,135247,134198
134389,TOLLBOOTH,1,133154,133154
134390,TOLL ROAD,1,134220,134198
134391,TOW PATH,1,135265,134198
134392,TOWING PATH BRIDGE,1,135240,134198
134393,TRAIN SHED,1,135244,134198
134394,TRAMWAY BRIDGE,1,135240,134198
134395,TRAMWAY TUNNEL PORTAL,1,134403,134198
134396,TRANSIT SHED,1,135244,134198
134397,TRANSPORTER BRIDGE,1,136734,134198
134398,TRAP HOUSE,1,135247,134198
134399,UNDERGROUND RAILWAY STATION,1,134294,134198
134400,UNDERGROUND RAILWAY TUNNEL,1,134346,134198
134402,TUNNEL,1,134198,134198
134403,TUNNEL PORTAL,1,134198,134198
134404,UNDERGROUND CAR PARK,1,134245,134198
134405,UNDERGROUND RAILWAY,1,134330,134198
134406,UNDERPASS,1,135247,134198
134407,VIADUCT,1,134198,134198
134408,WAGON SHED,1,135244,134198
134409,WAITING ROOM,1,134198,134198
134410,WATER GATE,1,135265,134198
134411,WEIGHBRIDGE,1,134198,134198
134412,WEIGH HOUSE,1,134198,134198
134414,WINDING ENGINE,1,135242,134198
134415,WOODEN ROAD,1,134220,134198
134416,ZEBRA CROSSING,1,134328,134198
134417,WATER SUPPLY AND DRAINAGE,1,,134417
134418,BATH HOUSE,1,134417,134417
134419,CESS PIT,1,144725,134417
134420,CESS POOL,1,134419,134417
134421,CISTERN,1,134473,134417
134422,SLUICE,1,144764,134417
134423,CONDUIT HEAD,1,144764,134417
