source_file,subject_id,subject_label,object_id,object_label,subject_label_norm,object_label_norm,predicate_id,predicate,mapping_justification,similarity_emb_full,similarity_emb_norm,similarity_str_levenshtein_full,similarity_str_jaro_winkler_full,similarity_str_token_sort_full,similarity_str_token_set_full,similarity_str_levenshtein_norm,similarity_str_jaro_winkler_norm,similarity_str_token_sort_norm,similarity_str_token_set_norm
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtLEIWWX4Z3O,villa,aat:300005517,villas,villa,villas,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.793457,0.793457,0.909091,0.966667,0.909091,0.909091,0.909091,0.966667,0.909091,0.909091
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtJHTcW3uQ01,géomorphologie,aat:300054547,geomorphology,géomorphologie,geomorphology,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.791992,0.791992,0.814815,0.889560,0.814815,0.814815,0.814815,0.889560,0.814815,0.814815
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtzh0WTynBny,scories,aat:300137730,scoria,scories,scoria,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.791992,0.791992,0.769231,0.909524,0.769231,0.769231,0.769231,0.909524,0.769231,0.769231
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtSGWOGTgMp8,cella,aat:300185263,cellae,cella,cellae,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.789551,0.789551,0.909091,0.966667,0.909091,0.909091,0.909091,0.966667,0.909091,0.909091
ads_mda_obj_aat.sssom.tsv,fish_obj:/concepts/96654,Bangle,aat:300045992,bangles,Bangle,bangles,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.789062,0.789062,0.923077,0.971429,0.923077,0.923077,0.923077,0.971429,0.923077,0.923077
ads_mda_obj_aat.sssom.tsv,fish_obj:/concepts/95758,BURIN,aat:300193147,burins,BURIN,burins,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.786133,0.786133,0.909091,0.966667,0.909091,0.909091,0.909091,0.966667,0.909091,0.909091
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtrm9U7TEqJS,bastion,aat:300002495,bastions,bastion,bastions,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.785645,0.785645,0.933333,0.975000,0.933333,0.933333,0.933333,0.975000,0.933333,0.933333
dai_aat.sssom.tsv,http://thesauri.dainst.org/_344ef1a0,suburban,aat:300132448,suburban landscapes,suburban,suburban landscapes,skos:closeMatch,closeMatch,semapv:UnspecifiedMatching,0.785156,0.785156,0.592593,0.884211,0.592593,1.000000,0.592593,0.884211,0.592593,1.000000
ads_mda_obj_aat.sssom.tsv,fish_obj:/concepts/141179,AXE (TOOL),aat:300024664,axes (tools),AXE,axes,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.782227,0.678711,0.909091,0.961111,0.909091,0.909091,0.857143,0.941667,0.857143,0.857143
dai_aat.sssom.tsv,http://thesauri.dainst.org/_b86f4b17,Tumulus,aat:300391495,tumuli,Tumulus,tumuli,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.777832,0.777832,0.769231,0.909524,0.769231,0.769231,0.769231,0.909524,0.769231,0.769231
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtQLzzeiDyrk,aqueduc,aat:300006165,aqueducts,aqueduc,aqueducts,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.777832,0.777832,0.875000,0.955556,0.875000,0.875000,0.875000,0.955556,0.875000,0.875000
inrap_pactols_sujets_aat.sssom.tsv,pactols:pcrtt5JlTMM6i9,urne,aat:300129425,urns,urne,urns,skos:exactMatch,exactMatch,semapv:UnspecifiedMatching,0.777344,0.777344,0.750000,0.883333,0.750000,0.750000,0.750000,0.883333,0.750000,0.750000
