count	namespace_root
1	http://www.idref.fr/027817873/
1	http://www.idref.fr/027820912/
1	http://www.idref.fr/027820947/
1	http://www.idref.fr/027820963/
1	http://www.idref.fr/027825566/
1	http://www.idref.fr/027826090/
1	http://www.idref.fr/027840557/
1	http://www.idref.fr/02784479X/
1	http://www.idref.fr/027847543/
1	http://www.idref.fr/027855775/
1	http://www.idref.fr/027859371/
1	http://www.idref.fr/027859657/
1	http://www.idref.fr/027868265/
1	http://www.idref.fr/027873250/
1	http://www.idref.fr/02787690X/
1	http://www.idref.fr/02818338X/
1	http://www.idref.fr/028317890/
1	http://www.idref.fr/028597540/
1	http://www.idref.fr/028630408/
1	http://www.idref.fr/028632788/
1	http://www.idref.fr/028670884/
1	http://www.idref.fr/028728564/
1	http://www.idref.fr/029112982/
1	http://www.idref.fr/029169321/
1	http://www.idref.fr/029558123/
1	http://www.idref.fr/030114918/
1	http://www.idref.fr/030395054/
1	http://www.idref.fr/030488354/
1	http://www.idref.fr/030575567/
1	http://www.idref.fr/030806453/
1	http://www.idref.fr/030924375/
1	http://www.idref.fr/03102081X/
1	http://www.idref.fr/03148168X/
1	http://www.idref.fr/031788319/
1	http://www.idref.fr/032073194/
1	http://www.idref.fr/032317468/
1	http://www.idref.fr/033396434/
1	http://www.idref.fr/033537887/
1	http://www.idref.fr/033587698/
1	http://www.idref.fr/033593701/
1	http://www.idref.fr/033593728/
1	http://www.idref.fr/03390362X/
1	http://www.idref.fr/033908575/
1	http://www.idref.fr/03437745X/
1	http://www.idref.fr/034521240/
1	http://www.idref.fr/034963766/
1	http://www.idref.fr/034964304/
1	http://www.idref.fr/035621303/
1	http://www.idref.fr/035763825/
1	http://www.idref.fr/050328190/
1	http://www.idref.fr/050585673/
1	http://www.idref.fr/050605860/
1	http://www.idref.fr/053504666/
1	http://www.idref.fr/059307641/
1	http://www.idref.fr/06160500X/
1	http://www.idref.fr/06161534X/
1	http://www.idref.fr/070967121/
1	http://www.idref.fr/077066022/
1	http://www.idref.fr/082968594/
1	http://www.idref.fr/098902040/
1	http://www.idref.fr/111549108/
1	http://www.idref.fr/116459751/
1	http://www.idref.fr/126233063/
1	http://www.idref.fr/131981544/
1	http://www.idref.fr/132381893/
1	http://www.idref.fr/132897156/
1	http://www.idref.fr/132897237/
1	http://www.idref.fr/145806863/
1	http://www.idref.fr/146503228/
1	http://www.idref.fr/152479155/
1	http://www.idref.fr/152678042/
1	http://www.idref.fr/158805682/
1	http://www.idref.fr/159520525/
1	http://www.idref.fr/161547370/
1	http://www.idref.fr/163614644/
1	http://www.idref.fr/177434368/
1	http://www.idref.fr/179051741/
1	http://www.idref.fr/179519522/
1	http://www.idref.fr/180215191/
1	http://www.idref.fr/185018432/
1	http://www.idref.fr/189110325/
1	http://www.idref.fr/192145010/
1	http://www.idref.fr/193099233/
1	http://www.idref.fr/194387933/
1	http://www.idref.fr/194526062/
1	http://www.idref.fr/235976725/
1	http://www.idref.fr/238340287/
1	http://www.idref.fr/24527118X/
1	http://www.idref.fr/268600244/
1	http://www.idref.fr/28201957X/
1	http://www.ukat.org.uk/thesaurus/
1	http://zbw.eu/stw/version/latest/descriptor/14142-3/
1	http://zbw.eu/stw/versions/9.0/descriptor/13028-6/
1	http://zbw.eu/stw/versions/latest/descriptor/13351-6/
1	https://data.bnf.fr/fr/12339512/pollux_grammaticus/
1	https://data.bnf.fr/fr/12554636/pomponius_porphyrio/
1	https://data.bnf.fr/fr/13329899/muh_ammad_ibn_muh_ammad_murtad_a_al-zabidi/
1	https://es.wikipedia.org/wiki/
1	https://es.wikipedia.org/wiki/Adloun#
1	https://fr.wiktionary.org/w/
1	https://geohack.toolforge.org/
1	https://hr.wikipedia.org/wiki/
1	https://id.loc.gov/authorities/subjects/
1	https://nl.wikipedia.org/wiki/
1	https://opentheso.huma-num.fr/api/ark:/76609/
1	https://pleiades.stoa.org/
1	https://pleiades.stoa.org/places/176681325/
1	https://pleiades.stoa.org/places/20890394/
1	https://pleiades.stoa.org/places/423025/
1	https://pleiades.stoa.org/places/531398484/
1	https://pleiades.stoa.org/places/766411/
1	https://pleiades.stoa.org/places/786079/the-temple-of-kom-ombo/
1	https://pleiades.stoa.org/places/786127/the-temple-of-hathor-at-dendera/
1	https://pleiades.stoa.org/places/825912337/
1	https://pleiades.stoa.org/places/877521474/
1	https://pop.culture.gouv.fr/notice/merimee/
1	https://skosmos.loterre.fr/905/fr/page/
1	https://sws.geonames.org/10228020/
1	https://sws.geonames.org/10295149/
1	https://sws.geonames.org/10295183/
1	https://sws.geonames.org/10295204/
1	https://sws.geonames.org/10295205/
1	https://sws.geonames.org/10295206/
1	https://sws.geonames.org/10295207/
1	https://sws.geonames.org/10295208/
1	https://sws.geonames.org/10295209/
1	https://sws.geonames.org/10295210/
1	https://sws.geonames.org/10295211/
1	https://sws.geonames.org/10295212/
1	https://sws.geonames.org/10295213/
1	https://sws.geonames.org/10295214/
1	https://sws.geonames.org/10295215/
1	https://sws.geonames.org/10295216/
1	https://sws.geonames.org/10295217/
1	https://sws.geonames.org/10295218/
1	https://sws.geonames.org/10295219/
1	https://sws.geonames.org/10295301/
1	https://sws.geonames.org/10295302/
1	https://sws.geonames.org/10295307/
1	https://sws.geonames.org/10295319/
1	https://sws.geonames.org/10295320/
1	https://sws.geonames.org/10295321/
1	https://sws.geonames.org/10295322/
1	https://sws.geonames.org/10295326/
1	https://sws.geonames.org/10295340/
1	https://sws.geonames.org/10295365/
1	https://sws.geonames.org/10295367/
1	https://sws.geonames.org/10295368/
1	https://sws.geonames.org/10295370/
1	https://sws.geonames.org/10295371/
1	https://sws.geonames.org/10295372/
1	https://sws.geonames.org/10295374/
1	https://sws.geonames.org/10295375/
1	https://sws.geonames.org/10295377/
1	https://sws.geonames.org/10295378/
1	https://sws.geonames.org/10295379/
1	https://sws.geonames.org/10295380/
1	https://sws.geonames.org/10295384/
1	https://sws.geonames.org/10297421/
1	https://sws.geonames.org/10297424/
1	https://sws.geonames.org/10297425/
1	https://sws.geonames.org/10297426/
1	https://sws.geonames.org/10297427/
1	https://sws.geonames.org/10297428/
1	https://sws.geonames.org/10297429/
1	https://sws.geonames.org/10345598/
1	https://sws.geonames.org/10913750/
1	https://sws.geonames.org/10960655/
1	https://sws.geonames.org/11071619/
1	https://sws.geonames.org/11071620/
1	https://sws.geonames.org/11071621/
1	https://sws.geonames.org/11071622/
1	https://sws.geonames.org/11071623/
1	https://sws.geonames.org/11071624/
1	https://sws.geonames.org/11071625/
1	https://sws.geonames.org/11127879/
1	https://sws.geonames.org/11185940/
1	https://sws.geonames.org/11204239/
1	https://sws.geonames.org/11281874/
1	https://sws.geonames.org/11281875/
1	https://sws.geonames.org/11281876/
1	https://sws.geonames.org/11281877/
1	https://sws.geonames.org/11281878/
1	https://sws.geonames.org/11281879/
1	https://sws.geonames.org/11281881/
1	https://sws.geonames.org/11281884/
1	https://sws.geonames.org/11281885/
1	https://sws.geonames.org/11281886/
1	https://sws.geonames.org/11282170/
1	https://sws.geonames.org/11282173/
1	https://sws.geonames.org/11395753/
1	https://sws.geonames.org/11396050/
1	https://sws.geonames.org/11496939/
1	https://sws.geonames.org/11548418/
1	https://sws.geonames.org/11549887/
1	https://sws.geonames.org/11550038/
