section,source_uri,source_label,target_label,target_uri,match,skos_predicate
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt2hndmryMV2,masse d'armes,maces (weapons),http://vocab.getty.edu/aat/300037214,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtIMsuG0RWTs,matériaux,materials (matter),http://vocab.getty.edu/aat/300010358,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtQuZiT5nYY2,matériaux de construction,building materials,http://vocab.getty.edu/aat/300014857,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtXOuO8FKGbe,matériaux de réemploi,adaptive reuse,http://vocab.getty.edu/aat/300056392,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtgsjUNspKtF,matériel de broyage,mortars (grinding tools),http://vocab.getty.edu/aat/300024724,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtwvFLgSQRs5,matière organique,organic material,http://vocab.getty.edu/aat/300011792,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtvKH7mF2Oas,matière première,raw material,http://vocab.getty.edu/aat/300015351,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtJdl7n3HRdk,mausolée,mausoleums,http://vocab.getty.edu/aat/300005891,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtSP0dQbsIZo,méandre body components),meanders (water,http://vocab.getty.edu/aat/300008727,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtIvN6VPwMxK,MEB,scanning electron microscopy,http://vocab.getty.edu/aat/300224957,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtc6qIb7UHSQ,médaille,medals,http://vocab.getty.edu/aat/300046025,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtNQL40Ax17n,médaillon,medallions (medals),http://vocab.getty.edu/aat/300077357,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtARiDUn3jr1,médecine,medicine (discipline),http://vocab.getty.edu/aat/300054518,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtjMFrjr1utW,mégalithe,megaliths,http://vocab.getty.edu/aat/300123562,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtQpKQcDolxc,mégalithe complexe,megalithic monuments,http://vocab.getty.edu/aat/300006983,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt3S7lIydczN,mégalithisme,megaliths,http://vocab.getty.edu/aat/300123562,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtD19Y1kxWR4,menhir,menhirs,http://vocab.getty.edu/aat/300006985,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTGfc88uXNW,menuiserie,joinery (woodwork),http://vocab.getty.edu/aat/300054087,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtj7UzwMo9cV,mer,seas,http://vocab.getty.edu/aat/300008694,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt0U973LRsPU,Mercure,gods (dieties),http://vocab.getty.edu/aat/300343851,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtTwPPMSZuiN,mesure de longueur,measuring,http://vocab.getty.edu/aat/300053578,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtjgj46uKdtQ,mesure de volume,measuring,http://vocab.getty.edu/aat/300053578,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtkn1hAXHveS,métal,metal,http://vocab.getty.edu/aat/300010900,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtixGJUknjcq,métallographie,metallography,http://vocab.getty.edu/aat/300226182,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtuf9JSs9vo6,métallurgie,metallurgy,http://vocab.getty.edu/aat/300054499,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtdUvEkSeyqH,méthodologie,methodology,http://vocab.getty.edu/aat/300054676,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt2k7dmQEGsR,métier à tisser,looms (textile tools),http://vocab.getty.edu/aat/300247546,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtaJkXATOYwB,métrologie,metrology,http://vocab.getty.edu/aat/300379443,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtUt7XJjD0Si,meuble,furniture components,http://vocab.getty.edu/aat/300040215,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt1Gqf0UzaZ3,meule,millstones (equipment components),http://vocab.getty.edu/aat/300185256,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt8Kxe3TJcK3,meule rotative,grinding stones,http://vocab.getty.edu/aat/300263933,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtc8EgFRyyMq,meunerie,grinding,http://vocab.getty.edu/aat/300053090,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtcz91HmkSSF,microburin,microburins,http://vocab.getty.edu/aat/300400614,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtMPleZ2204X,microfaune,fauna,http://vocab.getty.edu/aat/300310150,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt5dU0qJs5N8,microlithe,microliths,http://vocab.getty.edu/aat/300393267,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrt5StlzTk4Vn,micromorphologie,micromorphology,http://vocab.getty.edu/aat/300218793,exact match,exactMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtmn4k8f28dv,microrestes,botany,http://vocab.getty.edu/aat/300054467,broad match,broadMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtLf3Bt5nKRt,milieu rural,rural life,http://vocab.getty.edu/aat/300380146,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtZ1NStSd183,milieu végétal,vegetation,http://vocab.getty.edu/aat/300266061,close match,closeMatch
PACTOLS,http://ark.frantiq.fr/ark:/26678/pcrtoRerEcO48K,militaire,soldiers,http://vocab.getty.edu/aat/300185678,exact match,exactMatch
